rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,
10,1,1,95.4,10,90.5,6,99.6,1,98.4,26,65.5,178,96.4,22,United Kingdom,"20,665",11.2,41%,46:54:00,University of Oxford,"Accounting & Finance,General Engineering,Communication & Media Studies,Biological Sciences,Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Education,Civil Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Law,Sociology,Business & Management,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Computer Science,Chemistry,Chemical Engineering,Psychology,Archaeology,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,
20,2,2,94.5,20,92.1,2,97.2,4,97.9,35,88,63,82.5,151,United States,"2,240",6.4,30%,34 : 66,California Institute of Technology caltech,"Languages, Literature & Linguistics,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Business & Management,Biological Sciences,History, Philosophy & Theology,Chemistry,Mechanical & Aerospace Engineering",FALSE,FALSE,
30,3,3,94.4,30,91.4,4,98.7,2,95.8,62,59.3,236,95,37,United Kingdom,"18,980",10.9,37%,47:53:00,University of Cambridge,"Business & Management,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Archaeology,Education,Chemistry,Architecture,Other Health,Veterinary Science,Sociology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Accounting & Finance,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Mathematics & Statistics",FALSE,FALSE,
40,4,Stanford University,94.3,40,92.8,1,96.4,5,99.9,9,66.2,172,79.5,188,United States,"16,135",7.3,23%,43:57:00,Stanford University,"Physics & Astronomy,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Medicine & Dentistry,Education,Communication & Media Studies,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Mathematics & Statistics,Biological Sciences,Sociology,Law,Accounting & Finance,Business & Management,Archaeology,General Engineering,Civil Engineering,Chemical Engineering,Other Health,Economics & Econometrics,Electrical & Electronic Engineering,Veterinary Science",FALSE,FALSE,
50,5,Massachusetts Institute of Technology,93.6,50,90.5,5,92.4,10,99.5,14,86.9,70,89,99,United States,"11,247",8.6,34%,39 : 61,Massachusetts Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,History, Philosophy & Theology,Other Health,General Engineering,Biological Sciences,Computer Science,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Business & Management,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Archaeology,Civil Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies)",FALSE,FALSE,
60,6,Princeton University,93.2,60,90.3,7,96.3,6,98.8,22,58.6,247,81.1,172,United States,"7,983",8.1,25%,45:55:00,Princeton University,"Languages, Literature & Linguistics,Biological Sciences,Other Health,Psychology,Sociology,Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Chemical Engineering,Mathematics & Statistics,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Architecture,Agriculture & Forestry,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,
70,7,Harvard University,93,70,89.2,8,98.6,3,99.1,19,47.3,395,76.3,217,United States,"20,823",9.2,24%,49:51:00,Harvard University,"Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,General Engineering,Geography,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Sociology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Psychology,Economics & Econometrics,Communication & Media Studies,Biological Sciences,Architecture,Medicine & Dentistry,Law,Physics & Astronomy,Education,History, Philosophy & Theology",FALSE,FALSE,
80,8,Yale University,91.7,80,92,3,94.8,7,97.3,43,52.4,310,68.7,285,United States,"12,402",5.4,20%,50:50:00,Yale University,"Economics & Econometrics,Medicine & Dentistry,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Architecture,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Chemistry,Physics & Astronomy,Archaeology,Biological Sciences,Computer Science,Psychology,Business & Management,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sociology",FALSE,FALSE,
90,9,The University of Chicago,90.2,90,89.1,9,91.4,11,96.7,49,52.7,306,76,218,United States,"13,833",5.7,28%,46:54:00,The University of Chicago,"Business & Management,Physics & Astronomy,Economics & Econometrics,Psychology,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Archaeology,Computer Science,Art, Performing Arts & Design,Geography,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Chemistry",FALSE,FALSE,
100,10,Imperial College London,89.8,100,84.5,15,87.6,21,97,47,69.9,154,97.1,18,United Kingdom,"16,760",11.6,56%,38 : 62,Imperial College London,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",FALSE,FALSE,
